ImageName	GPS_SOD	CAM
CAM82-20220716140447_989-84.tif	50705.989000	82
CAM13-20220716140448_989-85.tif	50706.989000	13
CAM39-20220716140448_989-85.tif	50706.989000	39
CAM75-20220716140448_989-85.tif	50706.989000	75
CAM82-20220716140448_989-85.tif	50706.989000	82
CAM13-20220716140449_989-86.tif	50707.989000	13
CAM39-20220716140449_989-86.tif	50707.989000	39
CAM75-20220716140449_989-86.tif	50707.989000	75
CAM82-20220716140449_989-86.tif	50707.989000	82
CAM13-20220716140450_989-87.tif	50708.989000	13
CAM39-20220716140450_989-87.tif	50708.989000	39
CAM75-20220716140450_989-87.tif	50708.989000	75
CAM82-20220716140450_989-87.tif	50708.989000	82
CAM13-20220716140451_989-88.tif	50709.989000	13
CAM39-20220716140451_989-88.tif	50709.989000	39
CAM75-20220716140451_989-88.tif	50709.989000	75
CAM82-20220716140451_989-88.tif	50709.989000	82
CAM13-20220716140452_989-89.tif	50710.989000	13
CAM39-20220716140452_989-89.tif	50710.989000	39
CAM75-20220716140452_989-89.tif	50710.989000	75
CAM82-20220716140452_989-89.tif	50710.989000	82
CAM13-20220716140453_989-90.tif	50711.989000	13
CAM39-20220716140453_989-90.tif	50711.989000	39
CAM75-20220716140453_989-90.tif	50711.989000	75
CAM82-20220716140453_989-90.tif	50711.989000	82
CAM13-20220716140454_989-91.tif	50712.989000	13
CAM39-20220716140454_989-91.tif	50712.989000	39
CAM75-20220716140454_989-91.tif	50712.989000	75
CAM82-20220716140454_989-91.tif	50712.989000	82
CAM13-20220716140455_989-92.tif	50713.989000	13
CAM39-20220716140455_989-92.tif	50713.989000	39
CAM75-20220716140455_989-92.tif	50713.989000	75
CAM82-20220716140455_989-92.tif	50713.989000	82
CAM13-20220716140456_989-93.tif	50714.989000	13
CAM39-20220716140456_989-93.tif	50714.989000	39
CAM75-20220716140456_989-93.tif	50714.989000	75
CAM82-20220716140456_989-93.tif	50714.989000	82
CAM13-20220716140457_989-94.tif	50715.989000	13
CAM39-20220716140457_989-94.tif	50715.989000	39
CAM75-20220716140457_989-94.tif	50715.989000	75
CAM82-20220716140457_989-94.tif	50715.989000	82
CAM13-20220716140458_989-95.tif	50716.989000	13
CAM39-20220716140458_989-95.tif	50716.989000	39
CAM75-20220716140458_989-95.tif	50716.989000	75
CAM82-20220716140458_989-95.tif	50716.989000	82
CAM13-20220716140459_989-96.tif	50717.989000	13
CAM39-20220716140459_989-96.tif	50717.989000	39
CAM75-20220716140459_989-96.tif	50717.989000	75
CAM82-20220716140459_989-96.tif	50717.989000	82
CAM13-20220716140500_989-97.tif	50718.989000	13
CAM39-20220716140500_989-97.tif	50718.989000	39
CAM75-20220716140500_989-97.tif	50718.989000	75
CAM82-20220716140500_989-97.tif	50718.989000	82
CAM13-20220716140501_989-98.tif	50719.989000	13
CAM39-20220716140501_989-98.tif	50719.989000	39
CAM75-20220716140501_989-98.tif	50719.989000	75
CAM82-20220716140501_989-98.tif	50719.989000	82
CAM13-20220716140502_989-99.tif	50720.989000	13
CAM39-20220716140502_989-99.tif	50720.989000	39
CAM75-20220716140502_989-99.tif	50720.989000	75
CAM82-20220716140502_989-99.tif	50720.989000	82
CAM13-20220716140503_989-100.tif	50721.989000	13
CAM39-20220716140503_989-100.tif	50721.989000	39
CAM75-20220716140503_989-100.tif	50721.989000	75
CAM82-20220716140503_989-100.tif	50721.989000	82
CAM13-20220716140504_989-101.tif	50722.989000	13
CAM39-20220716140504_989-101.tif	50722.989000	39
CAM75-20220716140504_989-101.tif	50722.989000	75
CAM82-20220716140504_989-101.tif	50722.989000	82
CAM13-20220716140505_989-102.tif	50723.989000	13
CAM39-20220716140505_989-102.tif	50723.989000	39
CAM75-20220716140505_989-102.tif	50723.989000	75
CAM82-20220716140505_989-102.tif	50723.989000	82
CAM13-20220716140506_989-103.tif	50724.989000	13
CAM39-20220716140506_989-103.tif	50724.989000	39
CAM75-20220716140506_989-103.tif	50724.989000	75
CAM82-20220716140506_989-103.tif	50724.989000	82
CAM13-20220716140507_989-104.tif	50725.989000	13
CAM39-20220716140507_989-104.tif	50725.989000	39
CAM75-20220716140507_989-104.tif	50725.989000	75
CAM82-20220716140507_989-104.tif	50725.989000	82
CAM13-20220716140508_989-105.tif	50726.989000	13
CAM39-20220716140508_989-105.tif	50726.989000	39
